"","id","name","attcoef","defcoef"
"1",1,"Arsenal",0.161870283815424,-0.0602395888715645
"2",2,"Aston Villa",0.0166484532142902,0.0344993157470716
"3",3,"Bournemouth",-0.4124,0.2146
"4",4,"Brentford",-0.0576468025323694,0.0681144051756256
"5",5,"Brighton",-0.183540846982988,-0.148536669105826
"6",6,"Chelsea",0.363408411404058,-0.35290802122747
"7",7,"Crystal Palace",-0.0244708339577465,-0.104551393136886
"8",8,"Everton",-0.147699939283172,0.209112197734788
"9",9,"Fulham",-0.4124,0.2146
"10",10,"Leeds",-0.158784690583502,0.381787493121707
"11",11,"Leicester",0.186255356094498,0.122614992025151
"12",12,"Liverpool",0.570613131806908,-0.507226325151814
"13",13,"Man City",0.624569927020031,-0.502020669949938
"14",14,"Man Utd",0.105716338493985,0.0878656026393082
"15",15,"Newcastle",-0.131580014207782,0.151967301563919
"16",16,"Nottm Forest",-0.4124,0.2146
"17",17,"Southampton",-0.146773657922223,0.223376800412066
"18",18,"Spurs",0.274815476699961,-0.209156223760939
"19",19,"West Ham",0.148254630641577,-0.00863329013560257
"20",20,"Wolves",-0.268646119314207,-0.169785435239482
